time (ns),n=1_data,n=1_sims,n=2_data,n=2_sims
0.0,0.0020084860205812254,10558548443.488224,0.0017168074398474092,222656456210.3298
0.012499999999999999,0.0019219382366755513,10537527543.54564,0.0020313042457118682,222381121849.71115
0.024999999999999998,0.002170589977328437,10516569377.486818,0.0020189615872191046,222106298000.88065
0.0375,0.0018894493362507905,10495673695.870375,0.0016618475834260535,221831983402.20596
0.049999999999999996,0.001982054329068725,10474840250.493738,0.001988720039354566,221558176795.95178
0.0625,0.0020716812545492755,10454068794.385754,0.001828490340572178,221284876928.26572
0.075,0.0021806608984162364,10433359081.799358,0.001921010722587071,221012082549.1636
0.08750000000000001,0.0018113207610133343,10412710868.204311,0.002284868408880849,220739792412.51526
0.09999999999999999,0.00209187728160083,10392123910.279972,0.002480988119537012,220468005276.0302
0.11249999999999999,0.0015655146308635045,10371597965.908115,0.0017711034130265388,220196719901.24365
0.125,0.0023962153363049155,10351132794.165821,0.001325938789601995,219925935053.502
0.1375,0.0025161871035725833,10330728155.31838,0.001793505764116931,219655649501.94894
0.15,0.0018242033212552782,10310383810.812292,0.0020599490668889143,219385862019.5114
0.1625,0.0019205524005361859,10290099523.26827,0.0019930957556228354,219116571382.88574
0.17500000000000002,0.001752788836458969,10269875056.47431,0.002084031633082912,218847776372.52344
0.1875,0.0018849338550893725,10249710175.378815,0.0017752721697416427,218579475772.61765
0.19999999999999998,0.0019792048384081546,10229604646.083767,0.0019523741410093923,218311668371.08914
0.2125,0.0021688151674606393,10209558235.837912,0.0019235949747473194,218044352959.57288
0.22499999999999998,0.0024933143079930195,10189570713.030056,0.0015502506918662704,217777528333.40396
0.2375,0.0019290699956554663,10169641847.182333,0.0017500634210436583,217511193291.60425
0.25,0.0020052854591962976,10149771408.943586,0.0013328377450809797,217245346636.86877
0.2625,0.0017357187049970857,10129959170.08274,0.0015289741746796703,216979987175.55243
0.275,0.002162730019038386,10110204903.482258,0.002331294543464483,216715113717.6561
0.2875,0.0017240752142881092,10090508383.131618,0.001563264953642105,216450725076.8136
0.3,0.0017520873242070937,10070869384.120846,0.0016416999365298083,216186820070.27835
0.3125,0.002454099504335529,10051287682.634096,0.0022610089289584996,215923397518.91013
0.325,0.0020397997370726014,10031763055.943256,0.0021308977512367305,215660456247.16144
0.3375,0.0024635524491239966,10012295282.401623,0.00197797695709145,215397995083.06522
0.35000000000000003,0.001995482509951026,9992884141.437592,0.001651365216444291,215136012858.2208
0.3625,0.00227485102894726,9973529413.548416,0.00159856365250661,214874508407.78156
0.375,0.002486141024000573,9954230880.294,0.0018373247557906028,214613480570.44156
0.38749999999999996,0.0029916675365977185,18896388615.233124,0.0017892594101962926,215379385575.55414
0.39999999999999997,0.00927545143756842,94945686604.04726,0.002161794669369252,224192303961.6306
0.4125,0.02972995484438074,473160676071.4055,0.001447319223678086,270488001604.6599
0.425,0.0873405954460308,1550229954397.1204,0.0018694194316970843,410354573484.9107
0.4375,0.21768659209591532,3281311765719.277,0.0029902994533172827,659655159603.7454
0.44999999999999996,0.43001437779226803,4803920731514.206,0.0037909077021616986,927442159179.0903
0.46249999999999997,0.7009824891564983,5485521565347.256,0.006671542782344772,1109149286104.3716
0.475,0.8946590503501228,5617600976277.16,0.007803740552259597,1196455397243.266
0.4875,0.9837799113428751,5638836835770.787,0.008980310987944103,1233198238968.8945
0.5,1.0,5647322657023.611,0.009197229700920549,1249166928615.9258
0.5125,0.9890989895715793,5605533152902.612,0.009989900005395404,1255435920007.2136
0.525,0.9800677342801041,5502901823223.1875,0.010049625307113843,1256397220316.2463
0.5375,0.9461802334777611,5353352907885.911,0.009638826720671031,1254220609059.5305
0.55,0.8992415421569747,5176210721183.74,0.008550650220309475,1250224811996.3901
0.5624999999999999,0.8439721104304033,4986581036906.973,0.009905476634396072,1245209895599.3518
0.575,0.796765875408206,4794359294188.938,0.010520512046439879,1239659897370.929
0.5874999999999999,0.7430691979638866,4605419784718.673,0.009299652266364165,1233866343671.7087
0.6,0.7042900522293462,4422966146524.426,0.009045449491483433,1228003539343.311
0.6124999999999999,0.6690574646192696,4248555909918.9453,0.009188696571307088,1222174458009.367
0.625,0.6177750404736002,4082779780244.748,0.008369989953255604,1216438711377.741
0.6375,0.5987975805203237,3925683566151.532,0.009601955666759282,1210829594571.5542
0.65,0.5751397867142731,3777020452209.988,0.008367167777529811,1205364472681.9194
0.6625,0.545291305864978,3636397882214.585,0.01014427032981367,1200051108456.511
0.675,0.530257473475012,3503361132575.0854,0.009349309750064441,1194891515935.6184
0.6875,0.49588081721156146,3377439655149.2407,0.008229050497506078,1189884306078.6104
0.7000000000000001,0.47550018492632007,3258171865080.205,0.009017652404476845,1185026113246.3845
0.7125,0.4633894386774449,3145117621234.5186,0.008507862644716426,1180312461492.4104
0.725,0.4445869106145904,3037863786669.036,0.009497965210727264,1175738289468.2063
0.7374999999999999,0.4282209388563759,2936025977645.166,0.009395580605067462,1171298267320.1228
0.75,0.4135128529200789,2839248278992.4395,0.007874399769075916,1166986986879.2297
0.7625,0.39118885161550343,2747201932548.531,0.008698569153551706,1162799074702.4192
0.7749999999999999,0.38226912602092744,2659583561364.7725,0.008908823932914837,1158729258172.5132
0.7875,0.37321179618869965,2576113238167.993,0.008739287766770722,1154772403069.5544
0.7999999999999999,0.36243309570497156,2496532562030.8145,0.0083795396583547,1150923533835.015
0.8125,0.3467660263758406,2420602825745.6523,0.00973439634189432,1147177843367.4321
0.825,0.33529684936640497,2348103311077.8984,0.010521135612886087,1143530696516.052
0.8375,0.3289779737261229,2278829724354.6846,0.009075861794662599,1139977629810.2612
0.85,0.31627517439583663,2212592771795.063,0.008767637436517211,1136514348969.7234
0.8625,0.30688026859087436,2149216867485.455,0.008840419063769716,1133136725134.924
0.875,0.29575004495656526,2088538964027.6167,0.009049190890159958,1129840790388.9187
0.8875,0.290869772048648,2030407494973.5566,0.008457388703805926,1126622732916.2434
0.8999999999999999,0.28594249513207026,1974681418275.5652,0.009089381360282629,1123478892007.9175
0.9125,0.27971118985660925,1921229350595.8928,0.008801665105552943,1120405753037.987
0.9249999999999999,0.27184258267129663,1869928783151.664,0.00840505750248924,1117399942486.2117
0.9375000000000001,0.2642060358723964,1820665370661.6284,0.009184225279176422,1114458223050.5305
0.95,0.2575543907728121,1773332285832.721,0.008854697290279186,1111577488874.1348
0.9624999999999999,0.2500298894775559,1727829632638.1482,0.008948102105213684,1108754760900.5225
0.975,0.24466790636270302,1684063912379.5059,0.008792273451009558,1105987182363.0032
0.9874999999999999,0.23890605564047285,1641947537190.1106,0.008818100390580737,1103272014410.918
1.0,0.2357007063968452,1601398386228.0974,0.009929645209755054,1100606631872.359
1.0125,0.22369446397120457,1562339400331.5334,0.008104589860209156,1097988519151.6649
1.025,0.22128996487719826,1524698211370.497,0.008653860514481235,1095415266259.1134
1.0374999999999999,0.21725372998782536,1488406802939.4592,0.008318922251212215,1092884564969.7393
1.05,0.2132275678879838,1453401199393.7954,0.008834581896819805,1090394205107.9515
1.0625,0.2063808835678782,1419621180552.6028,0.009948381768788546,1087942070954.5005
1.075,0.20527134383736342,1387010019671.3752,0.010054030589032677,1085526137772.3109
1.0875,0.19572697216749346,1355514242537.1335,0.008837413380433838,1083144468447.7133
1.1,0.18942623553672594,1325083405759.2065,0.009418608317102499,1080795210243.6501
1.1125,0.18634619895868576,1295669892524.6194,0.007968431976475248,1078476591661.4974
1.1249999999999998,0.1852557908918047,1267228724260.9006,0.009431662895674355,1076186919408.2114
1.1375,0.17965232067131043,1239717386803.8242,0.008389366205453498,1073924575465.5958
1.15,0.17095909567430093,1213095669805.352,0.00856057327683243,1071688014258.5532
1.1625,0.17865737740198304,1187325518239.953,0.008993360190943187,1069475759919.2826
1.1749999999999998,0.1708311347019361,1162370894977.1946,0.008178288963450403,1067286403644.4482
1.1875,0.1675019967676126,1138197653486.6646,0.009220647472758477,1065118601142.4402
1.2,0.17143830565095727,1114773419829.122,0.008871952879003029,1062971070167.9152
1.2125000000000001,0.1600248606037061,1092067483166.5581,0.008478656307920485,1060842588140.895
1.2249999999999999,0.1593045761405275,1070050694094.5261,0.009175229258077037,1058731989847.7627
1.2375,0.15352194614159603,1048695370163.6323,0.00803768548100147,1056638165221.5844
1.25,0.14891386805075826,1027975208014.2095,0.008766059470195889,1054560057199.2485
1.2625,0.1471398644600814,1007865201599.6627,0.008331963905829567,1052496659652.99
1.275,0.1488365162457924,988341566020.38,0.008722581759392332,1050447015393.9329
1.2874999999999999,0.14553929846282168,969381666531.9617,0.008275027771759999,1048410214245.359
1.3,0.1424013481511004,950963952329.3796,0.009028038011148041,1046385391183.4681
1.3124999999999998,0.13566418037587685,933067894742.8784,0.007987176598867751,1044371724543.4673
1.325,0.13957655433113428,915673929512.4263,0.00872625417749323,1042368434288.8851
1.3375,0.13832606727165478,898763402835.5948,0.008765946583166862,1040374780342.0709
1.35,0.13159736871139555,882318520909.2206,0.008194455998679871,1038390060973.8988
1.3624999999999998,0.13284418713257629,866322302708.3267,0.007899855794123216,1036413611250.7499
1.375,0.12883327604975855,850758535766.8036,0.008645520313264732,1034444801536.9143
1.3875,0.12367550013609564,835611734743.4677,0.008598397032514162,1032483036050.5955
1.4000000000000001,0.12173687755806967,820867102574.5295,0.008383356315050633,1030527751471.7648
1.4124999999999999,0.12115556580205662,806510494029.3646,0.009241475129615297,1028578415600.1631
1.425,0.12049580293643761,792528381500.9529,0.008235055012336298,1026634526061.7944
1.4375,0.11981103559388735,778907822875.5645,0.007900600310957528,1024695609062.3127
1.45,0.11705536698566807,765636431338.3374,0.008473954214759195,1022761218185.7455
1.4625,0.1158504533115143,752702346982.4244,0.008716469811012865,1020830933237.0469
1.4749999999999999,0.11530295659626955,740094210099.4922,0.008125242810949685,1018904359127.0253
1.4875,0.11047280552924417,727801136038.6027,0.008452523810412066,1016981124798.2222
1.5,0.1090475356481638,715812691528.976,0.0076249320142255045,1015060882190.3748
1.5125,0.10728756361571601,704118872369.924,0.007474169558779845,1013143305244.1309
1.525,0.10561678183027781,692710082398.3657,0.007934237957823352,1011228088941.7283
1.5375,0.1033280940769147,681577113650.9049,0.007835303228020313,1009314948383.3876
1.5499999999999998,0.10430984569056331,670711127643.4648,0.007062857605133502,1007403617898.2103
1.5625,0.10056892543997291,660103637697.0345,0.007967561133679793,1005493850188.4114
1.575,0.10440616374245033,649746492243.1669,0.007980508654371865,1003585415505.745
1.5875000000000001,0.1011847510612198,639631859047.5878,0.007720634196598944,1001678100859.0322
1.5999999999999999,0.10065385142702954,629752210294.5958,0.00828299168287984,999771709251.7195
1.6124999999999998,0.09762388562193927,620100308478.9403,0.008212681878296149,997866058948.4369
1.625,0.09393528513752374,610669193055.5471,0.008445868012782654,995960982769.5598
1.6375,0.09161921221246976,601452167800.8754,0.008128570290519823,994056327412.808
1.65,0.09197519070738416,592442788842.838,0.008605647001937932,992151952800.9406
1.6624999999999999,0.09433880857016241,583634853319.1272,0.008651102845629071,990247731454.6471
1.675,0.09139044188128843,575022388626.4875,0.008517232828659483,988343547889.7542
1.6875,0.09017981823170346,566599642225.9716,0.008648560758241967,986439298037.8994
1.7,0.08970457025423959,558361071971.5264,0.008679891725819382,984534888689.8516
1.7125,0.08594078769248255,550301336931.3998,0.00799928238883849,982630236960.6815
1.725,0.08532043315114234,542415288673.8522,0.00836158255737901,980725269776.0177
1.7375,0.08582125645545378,534697962990.4918,0.008966503829178615,978819923378.6365
1.75,0.08016696490277228,527144572032.2753,0.008123773287005628,976914142854.6724
1.7625,0.08403723285317564,519750496834.8025,0.007880444600702073,975007881678.7518
1.775,0.08364765434040485,512511280211.01544,0.008642609440587493,973101101277.374
1.7874999999999999,0.08353345567160454,505422619990.7869,0.0073918130955263955,971193770609.8896
1.7999999999999998,0.08046524805672024,498480362588.16516,0.008700391320882364,969285865766.4469
1.8125,0.07894331317945154,491680496878.2343,0.008675787475977996,967377369582.2982
1.825,0.07825593062072905,485019148366.659,0.008546523764374356,965468271267.875
1.8375,0.07629789166319392,478492573636.02094,0.007759875878120518,963558566054.0634
1.8499999999999999,0.07890406074678442,472097155054.014,0.008285093531849117,961648254852.1311
1.8625,0.0768862803608127,465829395729.4731,0.008358635984877051,959737343927.773
1.8750000000000002,0.07450494461004918,459685914703.0441,0.006785816709164573,957825844588.7588
1.8874999999999997,0.07216282635072961,453663442360.09576,0.007856353971148871,955913772885.6926
1.9,0.07509148411062118,447758816054.19885,0.007423773563675102,954001149325.3947
1.9125,0.0717684931438071,441968975930.1932,0.007660594423871044,952087998596.4504
1.9249999999999998,0.07105024342472911,436290960936.4932,0.008513493199392975,950174349306.4739
1.9374999999999998,0.07019135921231208,430721905016.89294,0.008231512509853656,948260233730.6506
1.95,0.06679658553396464,425259033472.6844,0.0074334092779392335,946345687571.1478
1.9625000000000001,0.06861006996303452,419899659486.43414,0.007940925170400482,944430749726.9817
1.9749999999999999,0.06838486034011042,414641180799.2512,0.0077715946268487246,942515462073.9543
1.9874999999999998,0.06607708763157177,409481076533.84576,0.00813681494162287,940599869254.2833
2.0,0.06552017458445814,404416904156.103,0.007786872004778116,938684018475.559
2.0125,0.0656193324005326,399446296568.313,0.0076297493870809505,936767959318.6783
2.025,0.06683148644044075,394566959327.5652,0.008297196634033168,934851743554.4148
2.0375,0.06376078653517343,389776667983.187,0.007499798265685862,932935424968.301
2.05,0.062220798509004235,385073265527.4302,0.007704924085058144,931019059193.4995
2.0625,0.062483239349217484,380454659953.93005,0.008052285536756692,929102703551.366
2.0749999999999997,0.06335320323847192,375918821918.75946,0.008042671324783755,927186416899.4015
2.0875,0.060209640828735166,371463782499.17395,0.008367294103490922,925270259486.316
2.1,0.05963536517661263,367087631045.4089,0.007998316924869787,923354292813.9244
2.1125,0.05881731388129258,362788513121.1385,0.006411316123537592,921438579505.6124
2.125,0.06288879406438357,358564628528.4324,0.007598313037280551,919523183181.1144
2.1375,0.05736443077337789,354414229413.2708,0.007438112904148814,917608168337.3596
2.15,0.058632318752191534,350335618447.8801,0.008379206372840493,915693600235.1477
2.1624999999999996,0.058682765192644044,346327147086.34753,0.007822530153314942,913779544791.4219
2.175,0.05748119359040915,342387213890.1549,0.00869506159229241,911866068476.9226
2.1875,0.05723604059235601,338514262920.4451,0.007034587467719556,909953238219.0045
2.2,0.05561517906382891,334706782193.99536,0.008101821440211631,908041121309.412
2.2125,0.059465812912799634,330963302200.0285,0.007699289071204978,906129785316.8182
2.225,0.05524282657413185,327282394475.13416,0.007668792172407824,904219298003.9288
2.2375,0.053136652956639115,323662670233.7107,0.007072133156019215,902309727248.9749
2.2499999999999996,0.05492597418592274,320102779051.4691,0.006600757239567435,900401140971.4094
2.2624999999999997,0.0513883554112641,316601407599.65894,0.006994429251033895,898493607061.6418
2.275,0.05232539569805594,313157278427.7942,0.007506772407879569,896587193314.6401
2.2875,0.05298551393710227,309769148792.76556,0.007548897366546876,894681967367.2478
2.3,0.05444492761398312,306435809532.328,0.007822100821195867,892777996639.0547
2.3125,0.05586140986423051,303156083981.0505,0.007687730315421797,890875348276.68
2.325,0.05067118411580804,299928826926.9082,0.007939250679469703,888974089101.3237
2.3375,0.05087546777795186,296752923606.78235,0.007914426636129051,887074285559.4459
2.3499999999999996,0.05040377893410312,293627288739.2184,0.007738825134991932,885176003676.4464
2.3625,0.04900386957483311,290550865592.86975,0.008771617812482597,883279309013.2148
2.375,0.04524964209374805,287522625089.12976,0.007506186470443123,881384266625.4307
2.3875,0.04837706972169215,284541564937.5236,0.007686335354277674,879490941025.4915
2.4,0.04778254166040406,281606708802.50116,0.007025596606298697,877599396146.9601
2.4125,0.045833047635371334,278717105500.3306,0.007457424649473072,875709695311.4198
2.4250000000000003,0.04410931914552993,275871828224.8585,0.006432117457121893,873821901197.6311
2.4374999999999996,0.044684556504266705,273069973800.95392,0.007459843657238202,871936075812.8904
2.4499999999999997,0.0480012580508906,270310661964.51065,0.00700666943032484,870052280466.492
2.4625,0.043010806977448905,267593034667.9333,0.007170251165841356,868170575745.2014
2.475,0.04462330722765575,264916255410.0796,0.00790276935458693,866291021490.6473
2.4875,0.04646204878557809,262279508589.6803,0.007254959075113218,864413676778.5471
2.5,0.04301431765168109,259681998881.29993,0.00894307708286799,862538599899.6824
2.5125,0.04273998630585922,257122950632.94376,0.007463762327015061,860665848342.5427
2.525,0.04472714088096218,254601607284.45816,0.007162820299347719,858795478777.5637
2.5374999999999996,0.042137814378102566,252117230805.90515,0.007993466019056794,856927547042.8801
2.55,0.04238581374195929,249669101155.13318,0.007802724568998252,855062108131.5298
2.5625,0.04196848383455089,247256515753.79483,0.007365814137625185,853199216180.03
2.5749999999999997,0.042698331513725554,244878788981.09985,0.007811421491826697,851338924458.2716
2.5875,0.04209949998289076,242535251684.6186,0.006986916888030219,849481285360.6583
2.6,0.04127386306703784,240225250707.4829,0.006019566433942631,847626350398.4362
2.6125000000000003,0.04074406811306057,237948148431.35968,0.007460725251179125,845774170193.151
2.6249999999999996,0.04187771728763438,235703322334.5966,0.006405387421318372,843924794471.1803
2.6374999999999997,0.04406084702118983,233490164564.96817,0.007474731189278255,842078272059.2853
2.65,0.038671685346259504,231308081526.47247,0.007503966358872128,840234650881.1282
2.6625,0.039400196412560214,229156493479.65277,0.007272977995176226,838393977954.7117
2.675,0.04101350526128847,227034834154.93933,0.006490864404588736,836556299390.6854
2.6875,0.038125992135693045,224942550378.53024,0.00648451047752587,834721660391.478
2.7,0.04013306950531138,222879101710.3469,0.006295755933458544,832890105251.2113
2.7125,0.03980023579002185,220843960093.62115,0.006772165442010602,831061677356.3522
2.7249999999999996,0.03826175760261202,218836609515.68906,0.0070778447021310744,829236419187.062
2.7375,0.03846739207714421,216856545679.58224,0.007408797217823239,827414372319.2081
2.75,0.03849704219117761,214903275686.02676,0.007029406135177703,825595577426.994
2.7624999999999997,0.03740016616801133,212976317725.4736,0.006755584487674389,823780074286.1808
2.775,0.035373930006007345,211075200779.79968,0.007192032619785785,821967901777.857
2.7875,0.03720562956354821,209199464333.33566,0.007660245011638137,820159097892.7325
2.8000000000000003,0.034647893673979246,207348658092.88574,0.006351092230509006,818353699735.9174
2.8125,0.03530713851382886,205522341716.42413,0.0061873649392431476,816551743532.1627
2.8249999999999997,0.034852621573539605,203720084550.15945,0.006259176928568222,814753264631.5298
2.8375,0.036576542404176175,201941465373.6743,0.007217918690658066,812958297515.4624
2.85,0.03446965652328623,200186072152.8579,0.007193193743512839,811166875803.2354
2.8625,0.03402976802457624,198453501800.35992,0.006522491587223023,809379032258.7534
2.875,0.034393187551508456,196743359943.30505,0.006287104512193463,807594798797.6791
2.8875,0.03405394197550745,195055260698.0176,0.007330007447130199,805814206494.8634
2.9,0.03378817365572381,193388826451.5158,0.007065542703752644,804037285592.0575
2.9124999999999996,0.033880655010366856,191743687649.54327,0.0061906494142307525,802264065505.888
2.925,0.03390657602246236,190119482590.91586,0.007108798652701029,800494574836.0717
2.9375,0.03215266301191197,188515857227.96893,0.006440440065914632,798728841373.8514
2.9499999999999997,0.03379270526360336,186932464972.89954,0.007089816102781441,796966892110.6382
2.9625,0.03381244705475224,185368966509.8045,0.007607335936244323,795208753246.8356
2.975,0.031201168489204897,183825029612.2249,0.006344681077561852,793454450200.8369
2.9875000000000003,0.03199924215546893,182300328966.01175,0.00610016239710045,791704007618.1738
3.0,0.030555185334050404,180794545997.33734,0.005971800802611495,789957449380.8043
3.0124999999999997,0.03336908862379228,179307368705.68134,0.006169550290946942,788214798616.5237
3.025,0.03147762075995095,177838491501.62796,0.00596822971359605,786476077708.4865
3.0375,0.03275839667458004,176387615049.31683,0.006601988245741246,784741308304.825
3.05,0.02998494160714016,174954446113.39462,0.0064110015752818555,783010511328.353
3.0625,0.030479465585868653,173538697410.32175,0.006562077305404552,781283706986.3413
3.075,0.031121061703173223,172140087463.89282,0.006616432409884718,779560914780.3553
3.0875,0.03256091425621618,170758340464.83478,0.007143673966776595,777842153516.1428
3.0999999999999996,0.0293637116931837,169393186134.3514,0.00711819375165169,776127441313.5638
3.1125,0.028066718803712344,168044359591.4886,0.00645836931651121,774416795616.549
3.125,0.029584768686111148,166711601224.19778,0.0059193335033055575,772710233203.0819
3.1374999999999997,0.02928749144629399,165394656563.98047,0.006531025309060967,771007770195.1942
